iter	Passed	Remaining
481	617	663
482	618	661
483	619	659
484	620	658
485	621	657
486	622	655
487	623	653
488	624	652
489	625	651
490	628	651
491	629	649
492	630	648
493	631	646
494	632	645
495	633	643
496	634	641
497	635	640
498	635	638
499	636	636
500	637	635
501	639	633
502	640	633
503	642	632
504	643	630
505	644	629
506	645	627
507	646	626
508	648	625
509	649	623
510	650	622
511	656	625
512	658	625
513	660	624
514	661	623
515	663	622
516	665	621
517	667	620
518	671	622
519	672	621
520	673	619
521	675	618
522	676	617
523	678	616
524	680	615
525	681	614
526	684	613
527	686	613
528	688	612
529	689	611
530	691	610
531	692	609
532	694	608
533	696	607
534	697	606
535	698	605
536	700	604
537	702	603
538	703	602
539	705	600
540	706	599
541	708	598
542	709	597
543	711	596
544	712	595
545	714	593
546	715	592
547	716	591
548	717	589
549	718	588
550	719	586
551	720	585
552	722	583
553	723	582
554	724	580
555	725	579
556	726	577
557	727	576
558	728	574
559	730	573
560	731	572
561	732	571
562	733	569
563	734	568
564	736	566
565	737	565
566	738	563
567	739	562
568	740	560
569	741	559
570	742	557
571	743	556
572	745	555
573	746	554
574	747	552
575	748	551
576	749	549
577	750	548
578	751	546
579	753	545
580	754	543
581	755	542
582	756	540
583	757	539
584	758	537
585	760	536
586	761	535
587	762	534
588	763	532
589	764	531
590	765	529
591	766	528
592	767	527
593	769	525
594	770	524
595	771	522
596	772	521
597	773	520
598	775	519
599	777	518
600	778	516
601	779	515
602	780	514
603	781	512
604	782	511
605	783	509
606	785	508
607	786	506
608	787	505
609	788	504
610	790	503
611	791	501
612	792	500
613	793	498
614	794	497
615	795	496
616	797	494
617	798	493
618	799	491
619	800	490
620	801	488
621	802	487
622	803	486
623	804	484
624	805	483
625	806	482
626	807	480
627	808	479
628	809	477
629	810	476
630	811	474
631	812	473
632	813	471
633	814	470
634	815	468
635	816	467
636	817	465
637	818	464
638	820	463
639	822	462
640	823	461
641	824	459
642	825	458
643	826	457
644	827	455
645	828	454
646	829	452
647	830	451
648	831	449
649	832	448
650	834	447
651	835	446
652	837	444
653	838	443
654	839	442
655	840	440
656	841	439
657	842	438
658	843	436
659	844	435
660	845	433
661	846	432
662	847	431
663	849	429
664	850	428
665	852	427
666	853	426
667	854	424
668	855	423
669	856	421
670	857	420
671	858	419
672	859	417
673	860	416
674	861	414
675	862	413
676	864	412
677	866	411
678	867	410
679	868	408
680	869	407
681	870	405
682	871	404
683	872	402
684	873	401
685	874	400
686	875	398
687	876	397
688	877	396
689	878	394
690	879	393
691	881	392
692	883	391
693	884	389
694	885	388
695	886	387
696	887	385
697	888	384
698	889	383
699	890	381
700	891	380
701	892	378
702	893	377
703	894	376
704	896	375
705	897	373
706	898	372
707	899	371
708	900	369
709	901	368
710	902	366
711	903	365
712	904	364
713	905	362
714	906	361
715	907	360
716	908	358
717	910	357
718	912	356
719	913	355
720	914	353
721	915	352
722	916	351
723	917	349
724	918	348
725	919	347
726	920	345
727	921	344
728	922	343
729	923	341
730	925	340
731	927	339
732	928	338
733	929	336
734	930	335
735	931	334
736	933	332
737	934	331
738	935	330
739	936	329
740	937	327
741	938	326
742	940	325
743	941	324
744	943	322
745	944	321
746	945	320
747	946	318
748	947	317
749	949	316
750	950	315
751	951	313
752	952	312
753	953	311
754	954	309
755	955	308
756	957	307
757	959	306
758	960	304
759	961	303
760	963	302
761	964	301
762	965	299
763	966	298
764	967	297
765	968	295
766	969	294
767	971	293
768	973	292
769	974	290
770	975	289
771	976	288
772	977	287
773	978	285
774	979	284
775	980	283
776	981	281
777	982	280
778	983	279
779	984	277
780	985	276
781	987	275
782	988	274
783	989	272
784	990	271
785	992	270
786	992	268
787	993	267
788	995	266
789	996	264
790	997	263
791	998	262
792	999	260
793	999	259
794	1001	258
795	1003	257
796	1004	255
797	1005	254
798	1006	253
799	1007	251
800	1008	250
801	1009	249
802	1010	248
803	1011	246
804	1012	245
805	1013	244
806	1014	242
807	1016	241
808	1017	240
809	1019	239
810	1020	237
811	1021	236
812	1022	235
813	1023	233
814	1024	232
815	1025	231
816	1027	230
817	1027	228
818	1029	227
819	1030	226
820	1031	224
821	1033	223
822	1034	222
823	1035	221
824	1036	219
825	1037	218
826	1039	217
827	1040	216
828	1041	214
829	1042	213
830	1043	212
831	1044	210
832	1045	209
833	1047	208
834	1049	207
835	1050	206
836	1051	204
837	1053	203
838	1054	202
839	1055	201
840	1056	199
841	1058	198
842	1059	197
843	1060	195
844	1061	194
845	1063	193
846	1064	192
847	1066	191
848	1067	189
849	1068	188
850	1069	187
851	1070	186
852	1072	184
853	1073	183
854	1074	182
855	1075	180
856	1076	179
857	1078	178
858	1079	177
859	1081	175
860	1082	174
861	1083	173
862	1084	172
863	1085	170
864	1086	169
865	1087	168
866	1088	166
867	1089	165
868	1090	164
869	1091	163
870	1093	161
871	1094	160
872	1095	159
873	1096	158
874	1098	156
875	1099	155
876	1100	154
877	1101	153
878	1102	151
879	1103	150
880	1104	149
881	1106	147
882	1107	146
883	1109	145
884	1110	144
885	1111	143
886	1113	141
887	1114	140
888	1115	139
889	1117	138
890	1118	136
891	1119	135
892	1120	134
893	1121	132
894	1122	131
895	1124	130
896	1125	129
897	1126	127
898	1127	126
899	1128	125
900	1129	124
901	1131	122
902	1132	121
903	1133	120
904	1134	119
905	1135	117
906	1136	116
907	1137	115
908	1139	114
909	1140	112
910	1141	111
911	1143	110
912	1144	109
913	1145	107
914	1146	106
915	1147	105
916	1149	104
917	1150	102
918	1151	101
919	1152	100
920	1154	99
921	1155	97
922	1156	96
923	1157	95
924	1159	93
925	1160	92
926	1161	91
927	1163	90
928	1164	88
929	1165	87
930	1166	86
931	1167	85
932	1169	84
933	1170	82
934	1171	81
935	1173	80
